1772752502.9035861,Petroleo,35
1772752502.9035861,Maritimo,45
1772752502.9035861,Cables,15
1772752502.9035861,MarChina,42
1772752502.9035861,Espacio,20
1772752502.9035861,Ciber,33
1772756102.1886218,Petroleo,35
1772756102.1886218,Maritimo,45
1772756102.1886218,Cables,15
1772756102.1886218,MarChina,42
1772756102.1886218,Espacio,20
1772756102.1886218,Ciber,33
1772759702.33285,Petroleo,35
1772759702.33285,Maritimo,45
1772759702.33285,Cables,15
1772759702.33285,MarChina,42
1772759702.33285,Espacio,20
1772759702.33285,Ciber,33
1772763302.1055806,Petroleo,35
1772763302.1055806,Maritimo,45
1772763302.1055806,Cables,15
1772763302.1055806,MarChina,42
1772763302.1055806,Espacio,20
1772763302.1055806,Ciber,33
1772766902.290949,Petroleo,35
1772766902.290949,Maritimo,45
1772766902.290949,Cables,15
1772766902.290949,MarChina,42
1772766902.290949,Espacio,20
1772766902.290949,Ciber,33
1772770502.0551333,Petroleo,35
1772770502.0551333,Maritimo,45
1772770502.0551333,Cables,15
1772770502.0551333,MarChina,42
1772770502.0551333,Espacio,20
1772770502.0551333,Ciber,33
1772774102.2937822,Petroleo,35
1772774102.2937822,Maritimo,45
1772774102.2937822,Cables,15
1772774102.2937822,MarChina,42
1772774102.2937822,Espacio,20
1772774102.2937822,Ciber,33
1772777702.8056064,Petroleo,35
1772777702.8056064,Maritimo,45
1772777702.8056064,Cables,15
1772777702.8056064,MarChina,42
1772777702.8056064,Espacio,20
1772777702.8056064,Ciber,33
1772781302.2896376,Petroleo,35
1772781302.2896376,Maritimo,45
1772781302.2896376,Cables,15
1772781302.2896376,MarChina,42
1772781302.2896376,Espacio,20
1772781302.2896376,Ciber,33
1772784902.262716,Petroleo,35
1772784902.262716,Maritimo,45
1772784902.262716,Cables,15
1772784902.262716,MarChina,42
1772784902.262716,Espacio,20
1772784902.262716,Ciber,33
1772788502.5436654,Petroleo,35
1772788502.5436654,Maritimo,45
1772788502.5436654,Cables,15
1772788502.5436654,MarChina,42
1772788502.5436654,Espacio,20
1772788502.5436654,Ciber,33
1772792102.784949,Petroleo,35
1772792102.784949,Maritimo,45
1772792102.784949,Cables,15
1772792102.784949,MarChina,42
1772792102.784949,Espacio,20
1772792102.784949,Ciber,33
1772795702.7146897,Petroleo,35
1772795702.7146897,Maritimo,45
1772795702.7146897,Cables,15
1772795702.7146897,MarChina,42
1772795702.7146897,Espacio,20
1772795702.7146897,Ciber,33
1772799302.4028897,Petroleo,35
1772799302.4028897,Maritimo,45
1772799302.4028897,Cables,15
1772799302.4028897,MarChina,42
1772799302.4028897,Espacio,20
1772799302.4028897,Ciber,33
1772802902.3516123,Petroleo,35
1772802902.3516123,Maritimo,45
1772802902.3516123,Cables,15
1772802902.3516123,MarChina,42
1772802902.3516123,Espacio,20
1772802902.3516123,Ciber,33
1772806502.7549875,Petroleo,35
1772806502.7549875,Maritimo,45
1772806502.7549875,Cables,15
1772806502.7549875,MarChina,42
1772806502.7549875,Espacio,20
1772806502.7549875,Ciber,33
1772835302.3366566,Petroleo,35
1772835302.3366566,Maritimo,45
1772835302.3366566,Cables,15
1772835302.3366566,MarChina,42
1772835302.3366566,Espacio,20
1772835302.3366566,Ciber,33
1772835390.218841,Petroleo,35
1772835390.218841,Maritimo,45
1772835390.218841,Cables,15
1772835390.218841,MarChina,42
1772835390.218841,Espacio,20
1772835390.218841,Ciber,33
